0.001		211           	3.046745e-02	3.375416e-02	1.185076e-01	8.972127e-02	2.878637e-02
2.5		196           	-9.228018e-03	4.185560e-02	-3.042381e-02	-2.443992e-02	-5.983887e-03
5		715           	3.260030e-02	4.890180e-02	8.124303e-02	7.322181e-02	8.021212e-03
7.5		172           	6.416066e-02	5.353945e-02	1.778900e-01	1.531057e-01	2.478435e-02
10		187           	1.036022e-01	5.537468e-02	2.926158e-01	2.499101e-01	4.270568e-02
12		181           	1.363172e-01	5.449302e-02	3.848475e-01	3.287410e-01	5.610652e-02
15		187           	1.822137e-01	5.090168e-02	5.142301e-01	4.393288e-01	7.490132e-02
20		241           	2.515704e-01	4.298807e-02	6.967122e-01	5.999265e-01	9.678571e-02
25		2764          	3.139368e-01	4.639394e-02	8.369926e-01	7.324331e-01	1.045595e-01
30		3000          	4.270923e-01	6.086335e-02	1.059312e+00	9.567481e-01	1.025635e-01
