0.001		157           	-7.665723e-03	1.195439e-02	-2.097500e-02	-1.815322e-02	-2.821778e-03
2.5		170           	4.329248e-02	5.397401e-03	1.959228e-01	1.412539e-01	5.466892e-02
5		318           	7.724879e-02	-2.938833e-03	3.371928e-01	2.458452e-01	9.134760e-02
7.5		3000          	-9.784095e-02	7.358424e-02	-1.967029e-01	-1.961924e-01	-5.105023e-04
10		3000          	1.293668e-01	-1.048712e-02	5.165980e-01	3.876658e-01	1.289323e-01
12		3000          	3.287840e-01	5.387367e-03	9.681760e-01	8.128720e-01	1.553040e-01
15		3000          	5.186694e-01	2.385989e-02	1.353331e+00	1.195335e+00	1.579959e-01
20		3000          	5.337404e-01	3.909988e-02	1.388636e+00	1.228059e+00	1.605777e-01
25		3000          	3.173630e-01	4.950538e-02	8.417514e-01	7.382388e-01	1.035127e-01
30		3000          	1.947765e-01	1.662987e-01	3.002972e-01	3.449251e-01	-4.462795e-02
