0.001		325           	-2.050953e-03	4.680601e-02	1.587284e-03	-1.257311e-03	2.844594e-03
2.5		323           	5.978090e-02	4.517879e-02	2.225333e-01	1.710476e-01	5.148578e-02
5		319           	1.192357e-01	3.988646e-02	4.312126e-01	3.348420e-01	9.637060e-02
7.5		317           	1.743693e-01	3.199142e-02	6.160993e-01	4.824190e-01	1.336803e-01
10		318           	2.253108e-01	2.635038e-02	7.645255e-01	6.075735e-01	1.569520e-01
12		319           	2.625557e-01	2.664254e-02	8.509519e-01	6.880317e-01	1.629203e-01
15		314           	3.085477e-01	3.143902e-02	9.398748e-01	7.784851e-01	1.613897e-01
20		301           	3.702555e-01	3.313624e-02	1.068839e+00	9.046750e-01	1.641640e-01
25		297           	4.291135e-01	3.678405e-02	1.184311e+00	1.021269e+00	1.630419e-01
30		295           	4.878440e-01	4.541074e-02	1.293715e+00	1.134701e+00	1.590135e-01
